5.44E-01	4.56E-01	0.00E+00
4.21E-01	5.71E-01	7.70E-03
3.98E-01	5.12E-01	9.05E-02
3.92E-01	5.28E-01	8.06E-02
4.15E-01	5.77E-01	8.77E-03
4.50E-01	5.38E-01	1.27E-02
4.90E-01	4.10E-01	1.01E-01
5.22E-01	4.11E-01	6.75E-02
3.71E-01	5.35E-01	9.49E-02
5.83E-01	3.91E-01	2.56E-02
3.07E-01	4.74E-01	2.20E-01
4.28E-01	4.91E-01	8.10E-02
4.70E-01	5.01E-01	2.97E-02
4.86E-01	5.11E-01	2.75E-03
3.23E-01	4.53E-01	2.24E-01
7.51E-01	2.49E-01	0.00E+00
5.27E-01	4.38E-01	3.48E-02
4.58E-01	4.28E-01	1.14E-01
3.91E-01	4.78E-01	1.30E-01
4.47E-01	4.43E-01	1.10E-01
5.50E-01	4.50E-01	0.00E+00
4.14E-01	5.59E-01	2.76E-02
6.34E-01	3.66E-01	0.00E+00
3.57E-01	5.39E-01	1.04E-01
3.48E-01	5.96E-01	5.55E-02
3.91E-01	6.09E-01	0.00E+00
4.92E-01	4.94E-01	1.49E-02
5.70E-01	4.30E-01	0.00E+00
4.86E-01	4.55E-01	5.82E-02
5.28E-01	3.94E-01	7.76E-02
5.42E-01	3.79E-01	7.91E-02
4.87E-01	4.95E-01	1.73E-02
5.03E-01	4.49E-01	4.88E-02
3.72E-01	5.43E-01	8.48E-02
4.21E-01	4.31E-01	1.48E-01
4.17E-01	5.02E-01	8.08E-02
3.64E-01	4.40E-01	1.95E-01
5.58E-01	4.42E-01	0.00E+00
3.24E-01	6.31E-01	4.50E-02
5.20E-01	4.78E-01	2.08E-03
3.27E-01	5.57E-01	1.17E-01
3.75E-01	4.59E-01	1.66E-01
5.33E-01	4.67E-01	0.00E+00
5.94E-01	4.06E-01	0.00E+00
4.49E-01	3.85E-01	1.65E-01
5.07E-01	4.57E-01	3.57E-02
4.40E-01	5.13E-01	4.72E-02
3.87E-01	6.00E-01	1.30E-02
3.88E-01	5.62E-01	4.98E-02
3.69E-01	4.95E-01	1.36E-01
4.63E-01	5.10E-01	2.70E-02
3.23E-01	4.34E-01	2.43E-01
6.08E-01	3.89E-01	2.77E-03
4.37E-01	4.78E-01	8.56E-02
2.83E-01	7.17E-01	0.00E+00
3.38E-01	5.06E-01	1.56E-01
4.90E-01	4.04E-01	1.06E-01
5.32E-01	4.68E-01	0.00E+00
5.21E-01	4.78E-01	1.25E-03
5.01E-01	4.63E-01	3.59E-02
2.72E-01	6.61E-01	6.61E-02
4.13E-01	5.65E-01	2.22E-02
6.36E-01	3.48E-01	1.65E-02
3.86E-01	5.63E-01	5.15E-02
4.77E-01	4.07E-01	1.16E-01
4.70E-01	5.27E-01	3.68E-03
4.52E-01	4.32E-01	1.15E-01
4.68E-01	4.34E-01	9.74E-02
4.58E-01	5.42E-01	0.00E+00
5.06E-01	3.99E-01	9.52E-02
3.83E-01	6.17E-01	0.00E+00
5.36E-01	4.31E-01	3.29E-02
4.15E-01	5.04E-01	8.03E-02
4.65E-01	5.18E-01	1.70E-02
4.03E-01	5.09E-01	8.81E-02
4.22E-01	4.79E-01	9.83E-02
4.62E-01	5.38E-01	0.00E+00
6.18E-01	3.82E-01	0.00E+00
5.60E-01	4.39E-01	5.26E-04
2.57E-01	7.43E-01	0.00E+00
5.71E-01	4.12E-01	1.64E-02
4.57E-01	5.22E-01	2.09E-02
4.32E-01	5.14E-01	5.42E-02
4.95E-01	4.21E-01	8.37E-02
4.67E-01	5.33E-01	0.00E+00
5.32E-01	1.29E-01	3.39E-01
5.78E-01	4.22E-01	0.00E+00
6.29E-01	3.71E-01	0.00E+00
3.67E-01	6.33E-01	0.00E+00
4.64E-01	5.26E-01	9.91E-03
2.59E-01	5.80E-01	1.61E-01
6.07E-01	3.84E-01	8.83E-03
5.02E-01	4.47E-01	5.09E-02
5.30E-01	3.85E-01	8.53E-02
5.43E-01	4.57E-01	0.00E+00
3.38E-01	5.13E-01	1.49E-01
4.51E-01	4.73E-01	7.55E-02
4.37E-01	5.45E-01	1.80E-02
4.54E-01	4.26E-01	1.20E-01
6.33E-01	3.23E-01	4.35E-02
4.88E-01	4.87E-01	2.52E-02
4.50E-01	5.13E-01	3.66E-02
4.46E-01	4.96E-01	5.84E-02
6.07E-01	3.86E-01	6.74E-03
4.64E-01	5.08E-01	2.85E-02
3.55E-01	6.44E-01	7.53E-04
4.43E-01	5.02E-01	5.48E-02
5.03E-01	4.54E-01	4.36E-02
7.73E-01	2.27E-01	0.00E+00
6.20E-01	3.31E-01	4.90E-02
3.53E-01	6.47E-01	0.00E+00
4.57E-01	5.43E-01	0.00E+00
4.80E-01	5.10E-01	9.70E-03
4.66E-01	4.55E-01	7.92E-02
5.39E-01	3.92E-01	6.96E-02
4.42E-01	5.44E-01	1.40E-02
5.99E-01	3.87E-01	1.41E-02
3.77E-01	5.73E-01	4.98E-02
5.20E-01	3.92E-01	8.77E-02
3.98E-01	4.88E-01	1.14E-01
3.18E-01	6.82E-01	0.00E+00
5.30E-01	4.70E-01	0.00E+00
5.05E-01	4.24E-01	7.09E-02
4.82E-01	4.98E-01	2.00E-02
3.14E-01	5.94E-01	9.26E-02
4.80E-01	5.19E-01	7.36E-04
4.03E-01	5.08E-01	8.97E-02
5.76E-01	4.24E-01	0.00E+00
3.88E-01	5.64E-01	4.85E-02
4.06E-01	4.33E-01	1.61E-01
4.54E-01	5.14E-01	3.17E-02
5.18E-01	4.70E-01	1.14E-02
5.14E-01	4.01E-01	8.54E-02
4.02E-01	4.85E-01	1.13E-01
4.36E-01	5.03E-01	6.06E-02
4.29E-01	5.71E-01	0.00E+00
3.87E-01	5.56E-01	5.68E-02
4.96E-01	4.73E-01	3.18E-02
6.56E-01	3.44E-01	0.00E+00
5.41E-01	4.36E-01	2.24E-02
5.20E-01	4.80E-01	0.00E+00
4.82E-01	4.31E-01	8.76E-02
4.00E-01	5.38E-01	6.14E-02
4.76E-01	5.19E-01	5.08E-03
5.30E-01	3.81E-01	8.83E-02
3.85E-01	5.30E-01	8.45E-02
4.70E-01	5.30E-01	0.00E+00
5.03E-01	4.63E-01	3.44E-02
3.55E-01	6.45E-01	0.00E+00
4.66E-01	3.68E-01	1.65E-01
4.44E-01	5.56E-01	0.00E+00
4.73E-01	5.27E-01	0.00E+00
5.33E-01	4.37E-01	3.02E-02
5.13E-01	4.87E-01	0.00E+00
4.83E-01	4.65E-01	5.26E-02
5.13E-01	4.31E-01	5.61E-02
5.68E-01	3.49E-01	8.29E-02
5.99E-01	4.01E-01	0.00E+00
4.55E-01	4.97E-01	4.74E-02
3.95E-01	6.05E-01	0.00E+00
4.49E-01	5.51E-01	0.00E+00
3.74E-01	5.55E-01	7.09E-02
3.92E-01	6.08E-01	0.00E+00
5.16E-01	4.05E-01	7.87E-02
4.81E-01	4.80E-01	3.91E-02
3.89E-01	6.04E-01	6.82E-03
4.66E-01	5.34E-01	0.00E+00
6.02E-01	3.98E-01	0.00E+00
3.78E-01	6.22E-01	0.00E+00
2.32E-01	7.32E-01	3.57E-02
5.94E-01	4.06E-01	0.00E+00
5.03E-01	4.97E-01	0.00E+00
3.33E-01	5.24E-01	1.43E-01
4.78E-01	4.69E-01	5.25E-02
3.95E-01	4.50E-01	1.56E-01
5.09E-01	4.54E-01	3.73E-02
4.63E-01	5.10E-01	2.74E-02
5.60E-01	4.40E-01	0.00E+00
3.86E-01	5.71E-01	4.30E-02
2.49E-01	5.00E-01	2.51E-01
5.40E-01	4.18E-01	4.19E-02
4.65E-01	5.08E-01	2.62E-02
3.54E-01	6.46E-01	0.00E+00
4.24E-01	5.76E-01	0.00E+00
4.38E-01	4.88E-01	7.43E-02
3.90E-01	5.68E-01	4.17E-02
3.97E-01	5.96E-01	6.52E-03
4.58E-01	5.29E-01	1.29E-02
5.95E-01	3.26E-01	7.89E-02
4.56E-01	5.12E-01	3.26E-02
4.64E-01	4.69E-01	6.71E-02
4.49E-01	4.30E-01	1.21E-01
4.58E-01	4.54E-01	8.78E-02
3.39E-01	5.70E-01	9.14E-02
3.74E-01	5.38E-01	8.81E-02
3.29E-01	6.71E-01	0.00E+00
5.66E-01	4.08E-01	2.56E-02
4.31E-01	5.69E-01	0.00E+00
3.40E-01	6.58E-01	2.36E-03
2.80E-01	7.20E-01	0.00E+00
5.09E-01	4.91E-01	0.00E+00
4.02E-01	5.87E-01	1.05E-02
4.68E-01	5.04E-01	2.75E-02
6.78E-01	3.22E-01	0.00E+00
4.02E-01	5.98E-01	0.00E+00
4.22E-01	4.89E-01	8.92E-02
4.83E-01	5.17E-01	0.00E+00
3.69E-01	4.54E-01	1.77E-01
4.64E-01	5.34E-01	1.37E-03
4.59E-01	4.96E-01	4.55E-02
5.39E-01	4.03E-01	5.74E-02
4.31E-01	5.69E-01	0.00E+00
6.84E-01	2.88E-01	2.74E-02
5.51E-01	4.49E-01	0.00E+00
4.39E-01	5.61E-01	0.00E+00
4.04E-01	4.96E-01	1.00E-01
5.86E-01	3.92E-01	2.14E-02
6.22E-01	3.78E-01	0.00E+00
4.61E-01	5.14E-01	2.54E-02
4.35E-01	5.18E-01	4.70E-02
5.11E-01	4.39E-01	5.01E-02
4.10E-01	4.56E-01	1.34E-01
4.85E-01	5.15E-01	0.00E+00
4.78E-01	4.50E-01	7.19E-02
5.24E-01	4.76E-01	0.00E+00
4.15E-01	4.69E-01	1.16E-01
4.80E-01	5.13E-01	7.18E-03
3.89E-01	5.02E-01	1.09E-01
5.87E-01	4.01E-01	1.18E-02
3.89E-01	4.68E-01	1.43E-01
4.45E-01	5.32E-01	2.23E-02
3.12E-01	6.43E-01	4.50E-02
3.20E-01	6.80E-01	0.00E+00
3.76E-01	4.94E-01	1.30E-01
4.62E-01	5.01E-01	3.77E-02
5.30E-01	4.03E-01	6.70E-02
5.32E-01	4.22E-01	4.64E-02
4.30E-01	4.77E-01	9.35E-02
4.09E-01	5.27E-01	6.43E-02
4.40E-01	4.85E-01	7.46E-02
5.71E-01	3.00E-01	1.29E-01
2.54E-01	7.46E-01	0.00E+00
3.29E-01	5.88E-01	8.26E-02
5.35E-01	4.11E-01	5.41E-02
3.32E-01	6.24E-01	4.43E-02
4.54E-01	5.46E-01	0.00E+00
5.02E-01	4.91E-01	6.65E-03
4.98E-01	4.62E-01	3.95E-02
5.16E-01	4.72E-01	1.15E-02
4.53E-01	4.35E-01	1.11E-01
4.01E-01	5.99E-01	0.00E+00
3.98E-01	4.95E-01	1.08E-01
5.48E-01	4.35E-01	1.72E-02
5.33E-01	4.67E-01	0.00E+00
4.49E-01	3.90E-01	1.61E-01
5.21E-01	4.23E-01	5.53E-02
5.99E-01	4.01E-01	0.00E+00
5.73E-01	4.27E-01	0.00E+00
3.71E-01	5.91E-01	3.77E-02
3.12E-01	6.88E-01	0.00E+00
5.38E-01	3.92E-01	7.03E-02
4.00E-01	5.54E-01	4.60E-02
3.78E-01	4.49E-01	1.73E-01
4.47E-01	4.72E-01	8.04E-02
5.33E-01	4.65E-01	2.31E-03
5.12E-01	4.17E-01	7.11E-02
3.34E-01	5.22E-01	1.44E-01
3.96E-01	4.50E-01	1.54E-01
3.25E-01	5.25E-01	1.50E-01
4.72E-01	4.79E-01	4.92E-02
4.64E-01	5.27E-01	9.11E-03
6.09E-01	3.91E-01	0.00E+00
5.45E-01	4.49E-01	6.16E-03
5.36E-01	3.86E-01	7.78E-02
4.18E-01	5.57E-01	2.48E-02
3.45E-01	5.69E-01	8.57E-02
5.27E-01	4.54E-01	1.99E-02
4.12E-01	4.98E-01	8.98E-02
2.96E-01	7.04E-01	0.00E+00
3.17E-01	5.78E-01	1.04E-01
5.74E-01	3.72E-01	5.37E-02
5.00E-01	4.75E-01	2.44E-02
3.88E-01	6.12E-01	0.00E+00
5.36E-01	4.64E-01	0.00E+00
4.24E-01	4.74E-01	1.02E-01
4.40E-01	5.60E-01	0.00E+00
4.79E-01	4.75E-01	4.60E-02
4.47E-01	4.94E-01	5.90E-02
4.67E-01	3.84E-01	1.49E-01
4.85E-01	4.57E-01	5.78E-02
3.50E-01	5.84E-01	6.66E-02
3.33E-01	6.56E-01	1.05E-02
5.01E-01	4.59E-01	4.01E-02
4.72E-01	5.28E-01	0.00E+00
5.07E-01	4.85E-01	7.81E-03
4.64E-01	5.36E-01	0.00E+00
5.70E-01	4.30E-01	0.00E+00
5.45E-01	3.84E-01	7.01E-02
2.94E-01	7.06E-01	0.00E+00
3.68E-01	6.11E-01	2.09E-02
3.59E-01	5.89E-01	5.18E-02
3.98E-01	6.02E-01	0.00E+00
4.95E-01	5.05E-01	0.00E+00
5.47E-01	4.53E-01	0.00E+00
4.49E-01	4.66E-01	8.55E-02
3.17E-01	6.41E-01	4.19E-02
4.72E-01	4.97E-01	3.15E-02
5.11E-01	3.87E-01	1.02E-01
4.00E-01	5.29E-01	7.06E-02
4.03E-01	5.13E-01	8.39E-02
4.63E-01	5.37E-01	0.00E+00
4.98E-01	5.02E-01	0.00E+00
4.61E-01	4.61E-01	7.86E-02
3.84E-01	6.03E-01	1.32E-02
4.57E-01	5.29E-01	1.34E-02
3.30E-01	5.07E-01	1.62E-01
5.43E-01	4.00E-01	5.77E-02
4.21E-01	5.62E-01	1.65E-02
4.66E-01	5.34E-01	0.00E+00
5.13E-01	4.87E-01	0.00E+00
5.46E-01	4.54E-01	0.00E+00
3.03E-01	2.07E-01	4.90E-01
4.34E-01	5.38E-01	2.80E-02
3.73E-01	4.32E-01	1.94E-01
4.66E-01	4.21E-01	1.12E-01
4.96E-01	4.76E-01	2.72E-02
3.61E-01	5.73E-01	6.68E-02
4.47E-01	5.53E-01	0.00E+00
4.29E-01	5.40E-01	3.17E-02
3.38E-01	6.16E-01	4.63E-02
4.62E-01	5.38E-01	0.00E+00
4.48E-01	5.34E-01	1.87E-02
4.86E-01	3.90E-01	1.23E-01
5.10E-01	4.58E-01	3.19E-02
3.70E-01	4.45E-01	1.86E-01
4.83E-01	4.95E-01	2.23E-02
4.95E-01	5.05E-01	0.00E+00
5.44E-01	3.81E-01	7.53E-02
4.40E-01	4.84E-01	7.51E-02
3.56E-01	4.64E-01	1.79E-01
4.68E-01	4.52E-01	7.93E-02
2.85E-01	6.37E-01	7.71E-02
5.43E-01	4.14E-01	4.23E-02
4.41E-01	5.24E-01	3.57E-02
4.80E-01	5.20E-01	0.00E+00
4.03E-01	4.62E-01	1.35E-01
4.05E-01	4.96E-01	9.90E-02
4.85E-01	4.46E-01	6.97E-02
4.44E-01	5.41E-01	1.54E-02
2.73E-01	7.27E-01	0.00E+00
4.91E-01	4.35E-01	7.46E-02
4.69E-01	5.25E-01	6.33E-03
3.70E-01	5.31E-01	9.92E-02
6.13E-01	3.87E-01	0.00E+00
5.15E-01	4.85E-01	0.00E+00
4.73E-01	4.58E-01	6.93E-02
6.79E-01	2.95E-01	2.56E-02
3.46E-01	5.17E-01	1.37E-01
5.38E-01	4.27E-01	3.42E-02
4.84E-01	4.63E-01	5.26E-02
4.47E-01	3.73E-01	1.80E-01
5.85E-01	4.15E-01	0.00E+00
4.22E-01	4.96E-01	8.25E-02
5.63E-01	4.27E-01	1.01E-02
4.25E-01	5.25E-01	4.97E-02
5.95E-01	4.05E-01	0.00E+00
4.88E-01	5.12E-01	0.00E+00
4.09E-01	4.72E-01	1.19E-01
4.33E-01	4.56E-01	1.11E-01
4.84E-01	4.65E-01	5.08E-02
4.55E-01	5.45E-01	0.00E+00
4.13E-01	4.35E-01	1.53E-01
4.80E-01	3.98E-01	1.22E-01
4.57E-01	4.88E-01	5.49E-02
4.78E-01	4.68E-01	5.47E-02
4.85E-01	4.34E-01	8.12E-02
3.78E-01	4.68E-01	1.54E-01
3.88E-01	5.81E-01	3.15E-02
5.07E-01	4.87E-01	6.89E-03
4.31E-01	5.36E-01	3.31E-02
4.47E-01	5.49E-01	3.99E-03
4.84E-01	3.82E-01	1.34E-01
3.42E-01	5.46E-01	1.12E-01
5.13E-01	3.98E-01	8.89E-02
3.85E-01	6.15E-01	0.00E+00
4.61E-01	4.72E-01	6.70E-02
6.40E-01	2.92E-01	6.81E-02
5.09E-01	4.89E-01	1.87E-03
6.27E-01	3.73E-01	0.00E+00
3.87E-01	5.77E-01	3.56E-02
4.46E-01	5.54E-01	0.00E+00
5.21E-01	4.41E-01	3.80E-02
4.51E-01	5.49E-01	0.00E+00
4.95E-01	4.65E-01	4.07E-02
4.62E-01	4.58E-01	8.03E-02
4.19E-01	4.76E-01	1.05E-01
3.57E-01	4.68E-01	1.75E-01
5.29E-01	4.71E-01	0.00E+00
2.66E-01	6.49E-01	8.46E-02
4.47E-01	5.52E-01	9.45E-04
4.86E-01	4.88E-01	2.61E-02
2.94E-01	6.60E-01	4.60E-02
3.97E-01	4.38E-01	1.65E-01
3.88E-01	4.77E-01	1.35E-01
4.00E-01	5.21E-01	7.97E-02
5.17E-01	4.17E-01	6.57E-02
4.40E-01	5.30E-01	3.04E-02
4.58E-01	5.42E-01	0.00E+00
3.95E-01	4.39E-01	1.66E-01
4.98E-01	4.50E-01	5.17E-02
3.78E-01	6.22E-01	0.00E+00
3.30E-01	6.70E-01	0.00E+00
5.15E-01	4.02E-01	8.30E-02
3.18E-01	4.87E-01	1.95E-01
2.84E-01	4.70E-01	2.46E-01
5.34E-01	3.99E-01	6.67E-02
5.40E-01	4.60E-01	0.00E+00
5.00E-01	4.48E-01	5.14E-02
4.80E-01	4.92E-01	2.83E-02
4.45E-01	3.71E-01	1.84E-01
4.99E-01	4.09E-01	9.12E-02
5.36E-01	4.64E-01	0.00E+00
4.10E-01	4.78E-01	1.12E-01
2.97E-01	5.84E-01	1.19E-01
4.17E-01	5.02E-01	8.02E-02
4.50E-01	3.84E-01	1.66E-01
4.00E-01	5.03E-01	9.66E-02
5.05E-01	4.23E-01	7.13E-02
3.37E-01	4.69E-01	1.94E-01
4.78E-01	5.22E-01	0.00E+00
5.07E-01	4.36E-01	5.64E-02
4.97E-01	5.03E-01	0.00E+00
4.90E-01	5.10E-01	0.00E+00
4.05E-01	4.47E-01	1.48E-01
3.89E-01	6.11E-01	0.00E+00
4.00E-01	4.64E-01	1.36E-01
2.79E-01	7.21E-01	0.00E+00
3.91E-01	5.10E-01	9.89E-02
2.81E-01	7.19E-01	0.00E+00
4.37E-01	4.11E-01	1.52E-01
3.67E-01	4.97E-01	1.36E-01
3.73E-01	4.08E-01	2.19E-01
5.72E-01	4.23E-01	5.28E-03
4.14E-01	4.67E-01	1.19E-01
3.82E-01	4.71E-01	1.46E-01
5.45E-01	3.65E-01	9.02E-02
4.64E-01	4.52E-01	8.45E-02
5.98E-01	3.57E-01	4.48E-02
4.28E-01	4.92E-01	7.97E-02
5.43E-01	4.49E-01	8.70E-03
4.28E-01	4.82E-01	9.02E-02
6.72E-01	3.28E-01	0.00E+00
4.89E-01	4.62E-01	4.91E-02
3.44E-01	5.71E-01	8.51E-02
5.29E-01	4.71E-01	0.00E+00
3.53E-01	6.40E-01	7.63E-03
3.37E-01	5.40E-01	1.23E-01
5.15E-01	4.50E-01	3.44E-02
5.05E-01	3.89E-01	1.05E-01
4.97E-01	5.03E-01	0.00E+00
4.18E-01	5.28E-01	5.40E-02
4.91E-01	5.09E-01	0.00E+00
4.52E-01	5.02E-01	4.62E-02
3.13E-01	6.87E-01	0.00E+00
3.96E-01	5.80E-01	2.42E-02
3.13E-01	6.43E-01	4.33E-02
5.00E-01	4.93E-01	7.25E-03
3.33E-01	5.61E-01	1.07E-01
5.31E-01	4.27E-01	4.21E-02
4.27E-01	5.62E-01	1.12E-02
5.12E-01	4.43E-01	4.53E-02
5.03E-01	4.97E-01	0.00E+00
3.58E-01	5.06E-01	1.36E-01
3.66E-01	5.42E-01	9.27E-02
3.60E-01	5.34E-01	1.07E-01
4.24E-01	5.21E-01	5.53E-02
4.56E-01	5.44E-01	0.00E+00
4.66E-01	5.01E-01	3.28E-02
6.49E-01	3.51E-01	0.00E+00
4.21E-01	4.97E-01	8.15E-02
3.83E-01	6.17E-01	0.00E+00
4.22E-01	5.27E-01	5.09E-02
3.29E-01	6.71E-01	0.00E+00
5.00E-01	4.70E-01	3.01E-02
4.92E-01	4.68E-01	4.03E-02
4.56E-01	5.44E-01	0.00E+00
5.38E-01	4.62E-01	0.00E+00
4.17E-01	5.83E-01	0.00E+00
1.17E-01	6.36E-01	2.47E-01
5.13E-01	4.67E-01	2.00E-02
3.12E-01	5.96E-01	9.23E-02
5.90E-01	4.03E-01	7.59E-03
4.19E-01	5.81E-01	0.00E+00
4.74E-01	4.73E-01	5.30E-02
2.98E-01	6.16E-01	8.65E-02
5.62E-01	3.93E-01	4.53E-02
5.15E-01	3.88E-01	9.66E-02
4.73E-01	5.27E-01	0.00E+00
4.80E-01	4.47E-01	7.27E-02
6.25E-01	3.71E-01	3.35E-03
4.92E-01	4.06E-01	1.02E-01
5.06E-01	4.57E-01	3.64E-02
6.04E-01	3.57E-01	3.91E-02
4.61E-01	4.77E-01	6.23E-02
3.59E-01	5.89E-01	5.19E-02
5.32E-01	3.70E-01	9.76E-02
2.51E-01	6.18E-01	1.31E-01
4.63E-01	5.37E-01	0.00E+00
4.18E-01	5.15E-01	6.72E-02
3.62E-01	5.16E-01	1.21E-01
3.95E-01	6.05E-01	0.00E+00
4.53E-01	3.86E-01	1.62E-01
4.82E-01	4.82E-01	3.53E-02
4.63E-01	5.37E-01	0.00E+00
3.44E-01	6.50E-01	5.58E-03
3.51E-01	6.30E-01	1.84E-02
5.55E-01	4.45E-01	4.34E-04
4.16E-01	5.09E-01	7.56E-02
5.04E-01	4.56E-01	4.01E-02
3.94E-01	5.59E-01	4.72E-02
4.37E-01	4.84E-01	7.92E-02
4.93E-01	4.47E-01	5.99E-02
5.05E-01	4.34E-01	6.11E-02
4.40E-01	4.46E-01	1.14E-01
2.63E-01	7.37E-01	0.00E+00
5.19E-01	3.67E-01	1.14E-01
5.49E-01	4.51E-01	0.00E+00
4.59E-01	4.81E-01	5.94E-02
6.68E-01	3.32E-01	0.00E+00
5.01E-01	4.97E-01	1.22E-03
2.94E-01	6.43E-01	6.30E-02
3.62E-01	4.94E-01	1.44E-01
5.05E-01	4.13E-01	8.23E-02
4.94E-01	4.96E-01	1.05E-02
4.59E-01	4.60E-01	8.08E-02
4.60E-01	3.80E-01	1.60E-01
5.82E-01	4.18E-01	0.00E+00
3.96E-01	5.55E-01	4.93E-02
3.58E-01	2.58E-01	3.83E-01
4.47E-01	5.23E-01	2.90E-02
4.82E-01	5.18E-01	0.00E+00
5.22E-01	4.30E-01	4.82E-02
4.80E-01	4.52E-01	6.85E-02
4.94E-01	4.03E-01	1.03E-01
4.43E-01	5.35E-01	2.20E-02
4.94E-01	4.83E-01	2.35E-02
6.36E-01	3.39E-01	2.50E-02
5.00E-01	5.00E-01	0.00E+00
4.97E-01	5.03E-01	0.00E+00
4.59E-01	5.41E-01	0.00E+00
4.54E-01	5.46E-01	0.00E+00
4.27E-01	4.89E-01	8.32E-02
5.42E-01	4.28E-01	3.08E-02
5.52E-01	4.23E-01	2.51E-02
4.81E-01	5.10E-01	9.79E-03
5.27E-01	3.97E-01	7.57E-02
2.91E-01	7.09E-01	0.00E+00
3.96E-01	5.24E-01	7.95E-02
4.12E-01	5.88E-01	0.00E+00
4.08E-01	5.46E-01	4.54E-02
5.06E-01	4.91E-01	3.63E-03
6.92E-01	3.08E-01	0.00E+00
2.90E-01	4.19E-01	2.91E-01
5.35E-01	4.65E-01	0.00E+00
4.18E-01	5.82E-01	0.00E+00
4.30E-01	4.25E-01	1.45E-01
4.91E-01	3.83E-01	1.26E-01
6.04E-01	3.85E-01	1.13E-02
3.64E-01	5.46E-01	8.95E-02
3.17E-01	5.55E-01	1.28E-01
4.26E-01	4.29E-01	1.45E-01
5.14E-01	4.86E-01	0.00E+00
4.25E-01	5.75E-01	0.00E+00
2.68E-01	6.25E-01	1.07E-01
4.64E-01	5.36E-01	0.00E+00
2.21E-01	6.56E-01	1.23E-01
4.21E-01	5.46E-01	3.31E-02
4.29E-01	5.47E-01	2.46E-02
3.34E-01	4.95E-01	1.71E-01
4.21E-01	4.72E-01	1.07E-01
3.11E-01	6.89E-01	0.00E+00
3.39E-01	6.61E-01	0.00E+00
4.06E-01	4.46E-01	1.47E-01
3.86E-01	4.52E-01	1.62E-01
6.19E-01	3.81E-01	0.00E+00
4.97E-01	4.68E-01	3.52E-02
5.75E-01	3.85E-01	4.01E-02
4.67E-01	4.03E-01	1.30E-01
5.33E-01	4.25E-01	4.15E-02
5.48E-01	4.52E-01	0.00E+00
3.13E-01	5.81E-01	1.06E-01
4.44E-01	4.85E-01	7.11E-02
4.56E-01	5.44E-01	0.00E+00
4.05E-01	5.95E-01	0.00E+00
4.86E-01	5.14E-01	0.00E+00
4.44E-01	5.40E-01	1.59E-02
4.98E-01	5.02E-01	0.00E+00
4.39E-01	4.85E-01	7.62E-02
6.08E-01	3.92E-01	0.00E+00
6.47E-01	3.32E-01	2.19E-02
5.45E-01	4.55E-01	0.00E+00
5.35E-01	4.51E-01	1.39E-02
2.72E-01	7.28E-01	0.00E+00
2.37E-01	7.16E-01	4.70E-02
3.20E-01	5.52E-01	1.27E-01
4.04E-01	5.52E-01	4.39E-02
2.82E-01	5.50E-01	1.68E-01
4.57E-01	3.84E-01	1.59E-01
5.63E-01	4.37E-01	0.00E+00
4.86E-01	1.31E-01	3.84E-01
4.36E-01	4.37E-01	1.27E-01
4.36E-01	5.24E-01	4.07E-02
5.19E-01	3.70E-01	1.10E-01
4.74E-01	4.86E-01	3.99E-02
4.62E-01	5.38E-01	0.00E+00
3.94E-01	4.76E-01	1.30E-01
3.96E-01	6.04E-01	0.00E+00
6.35E-01	3.51E-01	1.41E-02
4.68E-01	5.23E-01	8.83E-03
5.56E-01	3.85E-01	5.87E-02
4.00E-01	6.00E-01	0.00E+00
4.92E-01	5.08E-01	0.00E+00
5.20E-01	3.95E-01	8.52E-02
5.09E-01	4.27E-01	6.45E-02
5.76E-01	4.00E-01	2.48E-02
4.76E-01	4.99E-01	2.43E-02
3.72E-01	6.28E-01	0.00E+00
4.96E-01	4.66E-01	3.76E-02
2.92E-01	6.50E-01	5.78E-02
4.51E-01	5.49E-01	0.00E+00
4.26E-01	5.14E-01	6.03E-02
5.18E-01	4.37E-01	4.53E-02
4.05E-01	5.95E-01	0.00E+00
4.31E-01	5.53E-01	1.56E-02
4.99E-01	4.62E-01	3.91E-02
2.41E-01	7.05E-01	5.38E-02
5.07E-01	4.53E-01	3.95E-02
3.65E-01	5.32E-01	1.02E-01
6.55E-01	3.45E-01	0.00E+00
5.00E-01	4.42E-01	5.73E-02
5.86E-01	4.07E-01	7.14E-03
5.19E-01	4.05E-01	7.62E-02
6.09E-01	3.91E-01	0.00E+00
4.41E-01	5.58E-01	1.32E-03
3.50E-01	6.50E-01	0.00E+00
4.90E-01	5.04E-01	6.64E-03
4.56E-01	5.44E-01	0.00E+00
3.92E-01	6.07E-01	5.28E-04
5.30E-01	4.22E-01	4.84E-02
5.21E-01	4.43E-01	3.61E-02
4.81E-01	4.57E-01	6.18E-02
4.26E-01	5.74E-01	0.00E+00
5.17E-01	4.83E-01	0.00E+00
4.06E-01	5.94E-01	0.00E+00
4.65E-01	4.96E-01	3.88E-02
4.50E-01	5.27E-01	2.26E-02
4.48E-01	4.64E-01	8.73E-02
3.02E-01	6.98E-01	0.00E+00
5.54E-01	3.75E-01	7.11E-02
6.03E-01	2.89E-01	1.08E-01
4.23E-01	5.50E-01	2.65E-02
5.71E-01	4.07E-01	2.16E-02
4.71E-01	5.29E-01	0.00E+00
5.07E-01	4.93E-01	0.00E+00
3.78E-01	6.22E-01	0.00E+00
3.86E-01	5.54E-01	5.97E-02
